PackageName,Status,InputPath,OutputPath,OutputBytes,ElapsedMilliseconds
@webassemblyjs__wasm-opt--wasm-opt-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wasm-opt--wasm-opt-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wasm-opt--wasm-opt-1.14.1.tar.xz,3760,11.591166010475717
@webassemblyjs__wasm-parser--wasm-parser-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wasm-parser--wasm-parser-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wasm-parser--wasm-parser-1.14.1.tar.xz,13888,30.702000003657304
@webassemblyjs__wast-parser--wast-parser-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wast-parser--wast-parser-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wast-parser--wast-parser-1.14.1.tar.xz,14632,30.512917001033202
@webassemblyjs__wast-printer--wast-printer-1.14.1,repacked,../data/unpacked_2500/@webassemblyjs__wast-printer--wast-printer-1.14.1,../data/repacked_xz_2500/@webassemblyjs__wast-printer--wast-printer-1.14.1.tar.xz,5256,14.823000004980713
@xmldom__xmldom--xmldom-0.9.10,repacked,../data/unpacked_2500/@xmldom__xmldom--xmldom-0.9.10,../data/repacked_xz_2500/@xmldom__xmldom--xmldom-0.9.10.tar.xz,82040,82.59700000053272
@xtuc__ieee754--ieee754-1.2.0,repacked,../data/unpacked_2500/@xtuc__ieee754--ieee754-1.2.0,../data/repacked_xz_2500/@xtuc__ieee754--ieee754-1.2.0.tar.xz,3188,10.040166991529986
@xtuc__long--long-4.2.2,repacked,../data/unpacked_2500/@xtuc__long--long-4.2.2,../data/repacked_xz_2500/@xtuc__long--long-4.2.2.tar.xz,25412,38.63400001137052
JSONStream--JSONStream-1.3.5,repacked,../data/unpacked_2500/JSONStream--JSONStream-1.3.5,../data/repacked_xz_2500/JSONStream--JSONStream-1.3.5.tar.xz,116456,82.79154199408367
abab--abab-2.0.6,repacked,../data/unpacked_2500/abab--abab-2.0.6,../data/repacked_xz_2500/abab--abab-2.0.6.tar.xz,4664,11.535457990248688
abbrev--abbrev-5.0.0,repacked,../data/unpacked_2500/abbrev--abbrev-5.0.0,../data/repacked_xz_2500/abbrev--abbrev-5.0.0.tar.xz,2648,8.897874999092892
