__run_id,__done,alg,subject,energy-pkg,energy-ram,execution-time
run_0_repetition_1,DONE,npm,npm/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tgz,67.59,8.22,1.055710296
run_36_repetition_15,DONE,xz,xz/@esbuild__win32-x64--win32-x64-0.28.0.tar.xz,23.2,2.8,0.363851099
run_25_repetition_23,DONE,xz,xz/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tar.xz,115.93,13.95,1.821367819
run_55_repetition_28,DONE,zopfli,zopfli/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tgz,7.99,0.96,0.125272052
run_42_repetition_21,DONE,zopfli,zopfli/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tgz,71.15,8.58,1.118843638
run_83_repetition_24,DONE,zstd,zstd/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.zst,3.25,0.38,0.048216702
run_50_repetition_7,DONE,zopfli,zopfli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tgz,78.75,9.4,1.230809959
run_75_repetition_18,DONE,zstd,zstd/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tar.zst,3.27,0.39,0.049111476
run_35_repetition_28,DONE,xz,xz/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tar.xz,146.55,17.57,2.298086652
run_6_repetition_15,DONE,npm,npm/next--next-16.2.6.tgz,79.95,9.42,1.238113673
run_58_repetition_10,DONE,zopfli,zopfli/@esbuild__darwin-x64--darwin-x64-0.28.0.tgz,8.17,0.99,0.127881545
run_57_repetition_7,DONE,zopfli,zopfli/@esbuild__linux-x64--linux-x64-0.28.0.tgz,7.99,0.96,0.125669743
run_26_repetition_6,DONE,xz,xz/@esbuild__linux-riscv64--linux-riscv64-0.28.0.tar.xz,21.62,2.54,0.338332263
run_77_repetition_9,DONE,zstd,zstd/@esbuild__linux-s390x--linux-s390x-0.28.0.tar.zst,3.18,0.37,0.048017318
run_8_repetition_25,DONE,npm,npm/@esbuild__sunos-x64--sunos-x64-0.28.0.tgz,7.7,0.92,0.119770356
run_39_repetition_18,DONE,xz,xz/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.xz,23.03,2.76,0.36135037
run_39_repetition_14,DONE,xz,xz/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.xz,23.09,2.77,0.361190168
run_92_repetition_10,DONE,brotli,brotli/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tar.br,39.04,4.75,0.605799495
run_80_repetition_22,DONE,zstd,zstd/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.zst,27.02,3.2,0.404948352
run_3_repetition_24,DONE,npm,npm/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tgz,52.33,6.26,0.816015611
run_74_repetition_4,DONE,zstd,zstd/@esbuild__darwin-x64--darwin-x64-0.28.0.tar.zst,3.39,0.39,0.050783843
run_61_repetition_29,DONE,zopfli,zopfli/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tgz,8.04,0.97,0.125802235
run_4_repetition_15,DONE,npm,npm/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tgz,70.54,8.49,1.099450212
run_37_repetition_21,DONE,xz,xz/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.xz,178.15,21.35,2.795684204
run_94_repetition_4,DONE,brotli,brotli/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.br,45.08,5.48,0.699944282
run_101_repetition_3,DONE,brotli,brotli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.br,40.44,4.97,0.630339046
run_99_repetition_14,DONE,brotli,brotli/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tar.br,30.17,3.65,0.469293482
run_39_repetition_29,DONE,xz,xz/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.xz,23.01,2.76,0.360505733
run_53_repetition_4,DONE,zopfli,zopfli/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tgz,74.42,8.89,1.16443938
run_27_repetition_29,DONE,xz,xz/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.xz,174.05,20.88,2.731152632
run_52_repetition_12,DONE,zopfli,zopfli/@esbuild__netbsd-x64--netbsd-x64-0.28.0.tgz,7.97,0.96,0.124972782
run_43_repetition_15,DONE,zopfli,zopfli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tgz,65.34,7.78,1.023800178
run_23_repetition_9,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.57,19.7,2.594536393
run_98_repetition_2,DONE,brotli,brotli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tar.br,44.04,5.3,0.685160374
run_45_repetition_28,DONE,zopfli,zopfli/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tgz,54.82,6.55,0.860051417
run_64_repetition_1,DONE,zstd,zstd/@esbuild__linux-x64--linux-x64-0.28.0.tar.zst,3.25,0.38,0.048788524
run_27_repetition_28,DONE,xz,xz/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.xz,174.33,20.83,2.73135917
run_31_repetition_23,DONE,xz,xz/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tar.xz,23.06,2.75,0.360660869
run_43_repetition_22,DONE,zopfli,zopfli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tgz,65.23,7.84,1.023188113
run_82_repetition_24,DONE,zstd,zstd/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tar.zst,28.09,3.31,0.421507982
run_21_repetition_1,DONE,xz,xz/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.xz,22.79,2.72,0.356948357
run_45_repetition_11,DONE,zopfli,zopfli/@next__swc-win32-ia32-msvc--swc-win32-ia32-msvc-14.2.16.tgz,54.8,6.54,0.859083958
run_8_repetition_4,DONE,npm,npm/@esbuild__sunos-x64--sunos-x64-0.28.0.tgz,7.71,0.92,0.120496431
run_22_repetition_0,DONE,xz,xz/@next__swc-linux-arm64-musl--swc-linux-arm64-musl-16.2.6.tar.xz,154.94,18.56,2.425346664
run_15_repetition_10,DONE,npm,npm/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tgz,76.73,9.17,1.18671438
run_4_repetition_12,DONE,npm,npm/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tgz,70.92,8.48,1.101195923
run_52_repetition_15,DONE,zopfli,zopfli/@esbuild__netbsd-x64--netbsd-x64-0.28.0.tgz,8.01,0.95,0.124829823
run_80_repetition_16,DONE,zstd,zstd/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.zst,26.3,3.14,0.394990132
run_49_repetition_18,DONE,zopfli,zopfli/@esbuild__sunos-x64--sunos-x64-0.28.0.tgz,8.15,0.97,0.125593129
run_23_repetition_13,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.18,19.81,2.591706327
run_104_repetition_21,DONE,brotli,brotli/@esbuild__linux-ia32--linux-ia32-0.28.0.tar.br,5.63,0.67,0.087661298
run_43_repetition_29,DONE,zopfli,zopfli/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tgz,65.13,7.87,1.02344616
run_28_repetition_27,DONE,xz,xz/@next__swc-linux-arm64-gnu--swc-linux-arm64-gnu-16.2.6.tar.xz,157.13,18.63,2.452279684
run_94_repetition_21,DONE,brotli,brotli/@next__swc-win32-x64-msvc--swc-win32-x64-msvc-16.2.6.tar.br,45.09,5.39,0.699554812
run_97_repetition_13,DONE,brotli,brotli/next--next-16.2.6.tar.br,22.78,2.76,0.349946507
run_100_repetition_22,DONE,brotli,brotli/@esbuild__openbsd-x64--openbsd-x64-0.28.0.tar.br,5.95,0.71,0.092864149
run_95_repetition_17,DONE,brotli,brotli/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.br,5.89,0.7,0.091133657
run_35_repetition_18,DONE,xz,xz/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tar.xz,149.94,17.69,2.306761544
run_72_repetition_7,DONE,zstd,zstd/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.zst,3.16,0.37,0.047318458
run_39_repetition_1,DONE,xz,xz/@esbuild__sunos-x64--sunos-x64-0.28.0.tar.xz,23.04,2.76,0.360390038
run_36_repetition_3,DONE,xz,xz/@esbuild__win32-x64--win32-x64-0.28.0.tar.xz,23.28,2.77,0.363319384
run_79_repetition_26,DONE,zstd,zstd/@next__swc-linux-x64-gnu--swc-linux-x64-gnu-16.2.6.tar.zst,31.0,3.73,0.465959357
run_19_repetition_5,DONE,npm,npm/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tgz,7.9,0.93,0.120322294
run_42_repetition_0,DONE,zopfli,zopfli/@next__swc-darwin-arm64--swc-darwin-arm64-16.2.6.tgz,71.23,8.57,1.11756165
run_24_repetition_16,DONE,xz,xz/aws-sdk--aws-sdk-2.1693.0.tar.xz,45.95,5.56,0.71916697
run_50_repetition_28,DONE,zopfli,zopfli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tgz,78.47,9.48,1.229983441
run_93_repetition_20,DONE,brotli,brotli/@esbuild__linux-x64--linux-x64-0.28.0.tar.br,6.01,0.71,0.093482776
run_50_repetition_22,DONE,zopfli,zopfli/@next__swc-linux-x64-musl--swc-linux-x64-musl-16.2.6.tgz,78.43,9.57,1.230800746
run_19_repetition_29,DONE,npm,npm/@esbuild__freebsd-x64--freebsd-x64-0.28.0.tgz,7.71,0.92,0.119984802
run_72_repetition_28,DONE,zstd,zstd/@esbuild__win32-ia32--win32-ia32-0.28.0.tar.zst,3.15,0.37,0.047973651
run_40_repetition_6,DONE,xz,xz/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.xz,134.56,16.15,2.104293561
run_23_repetition_27,DONE,xz,xz/@next__swc-darwin-x64--swc-darwin-x64-16.2.6.tar.xz,165.49,19.85,2.589481321
run_40_repetition_19,DONE,xz,xz/@next__swc-win32-arm64-msvc--swc-win32-arm64-msvc-16.2.6.tar.xz,134.69,16.25,2.108788861
